key,English/reference,한국어,日本語,français (France),português (Brasil),review_type,human_reviewer,human_notes
,,,,,,AI linguistic pass; human review pending,,
—,—,,—,—,—,AI linguistic pass; human review pending,,
·,·,,·,·,·,AI linguistic pass; human review pending,,
· %@명,· %@ people,· %@명,· %@人,· %@ personnes,· %@ pessoas,AI linguistic pass; human review pending,,
· 수정됨,· edited,· 수정됨,· 編集済み,· modifié,· editado,AI linguistic pass; human review pending,,
"""%@""","""%@""",,「%@」,« %@ »,“%@”,AI linguistic pass; human review pending,,
"""%@"" — %@","""%1$@"" — %2$@",,「%1$@」— %2$@,« %1$@ » — %2$@,“%1$@” — %2$@,AI linguistic pass; human review pending,,
“%@” appears often in the last 7 days,“%@” appears often in the last 7 days,최근 7일간 ‘%@’가 자주 보여요,この7日間は「%@」がよく登場しています,« %@ » revient souvent ces 7 derniers jours,“%@” aparece bastante nos últimos 7 dias,AI linguistic pass; human review pending,,
@,@,,@,@,@,AI linguistic pass; human review pending,,
@%@,@%@,,@%@,@%@,@%@,AI linguistic pass; human review pending,,
/ 100,/ 100,,/ 100,/ 100,/ 100,AI linguistic pass; human review pending,,
/100,/100,,/100,/100,/100,AI linguistic pass; human review pending,,
%@ – %@,%1$@ – %2$@,,%1$@ – %2$@,%1$@ – %2$@,%1$@ – %2$@,AI linguistic pass; human review pending,,
%@ %@,%1$@ %2$@,,%1$@ %2$@,%1$@ %2$@,%1$@ %2$@,AI linguistic pass; human review pending,,
%@ Feed,%@ Feed,%@ 피드,%@のフィード,Fil %@,Feed de %@,AI linguistic pass; human review pending,,
%@ tends to be your happiest day,%@ tends to be your happiest day,%@에 가장 행복한 편이에요,%@は気分のいい日が多いようです,Le %@ est souvent votre meilleur jour,%@ costuma ser seu melhor dia,AI linguistic pass; human review pending,,
%@ 전,%@ ago,%@ 전,%@前,Il y a %@,Há %@,AI linguistic pass; human review pending,,
"%@, Scoor 점수 %lld","%1$@, Scoor 점수 %2$lld",,%1$@、Scoorスコア%2$lld点,"%1$@, score Scoor : %2$lld","%1$@, nota no Scoor: %2$lld",AI linguistic pass; human review pending,,
%@%@,%1$@%2$@,,%1$@%2$@,%1$@%2$@,%1$@%2$@,AI linguistic pass; human review pending,,
